precision_decimals,zstd_level,compressed_size_kb,compression_percent,write_time_milliseconds,read_time_milliseconds,RMSE
3,4,3773.9033203125,79.23968388261963,120,14,1.5068467e-05
3,5,3768.2958984375,79.27053042023545,120,15,1.5068467e-05
3,6,3767.7763671875,79.27338837182229,118,14,1.5068467e-05
3,7,3766.7529296875,79.27901832156479,118,15,1.5068467e-05
3,8,3766.6748046875,79.2794480887207,117,15,1.5068467e-05
3,9,3766.6884765625,79.27937287946841,121,15,1.5068467e-05
3,10,3766.6884765625,79.27937287946841,126,15,1.5068467e-05
3,11,3766.2333984375,79.28187627315162,152,15,1.5068467e-05
3,12,3766.0224609375,79.28303664447259,166,16,1.5068467e-05
3,13,3760.7783203125,79.31188476481341,171,16,1.5068467e-05
3,14,3758.5927734375,79.32390750100015,197,16,1.5068467e-05
3,15,3758.5927734375,79.32390750100015,198,16,1.5068467e-05
3,16,3754.4638671875,79.34662069519027,206,16,1.5068467e-05
3,17,3754.4638671875,79.34662069519027,220,17,1.5068467e-05
3,18,3754.4619140625,79.34663143936918,202,15,1.5068467e-05
3,19,3752.1396484375,79.35940626807876,290,15,1.5068467e-05
3,20,3752.1376953125,79.35941701225767,291,16,1.5068467e-05
3,21,3752.1376953125,79.35941701225767,295,16,1.5068467e-05
4,0,3766.6904296875,79.27936213528952,132,14,1.5068467e-05
4,1,3845.9228515625,78.84350302993903,98,14,1.5068467e-05
4,2,3835.4033203125,78.90137117748304,101,15,1.5068467e-05
4,3,3830.8388671875,78.92648032356739,111,14,1.5068467e-05
4,4,3773.9052734375,79.23967313844074,129,15,1.5068467e-05
4,5,3768.2978515625,79.27051967605657,125,15,1.5068467e-05
4,6,3767.7783203125,79.2733776276434,138,16,1.5068467e-05
4,7,3766.7548828125,79.27900757738588,131,15,1.5068467e-05
4,8,3766.6767578125,79.2794373445418,130,15,1.5068467e-05
4,9,3766.6904296875,79.27936213528952,136,15,1.5068467e-05
4,10,3766.6904296875,79.27936213528952,138,15,1.5068467e-05
4,11,3766.2353515625,79.28186552897273,166,15,1.5068467e-05
4,12,3766.0244140625,79.28302590029371,164,16,1.5068467e-05
4,13,3760.7802734375,79.31187402063452,190,16,1.5068467e-05
4,14,3758.5947265625,79.32389675682126,213,17,1.5068467e-05
4,15,3758.5947265625,79.32389675682126,219,16,1.5068467e-05
4,16,3754.4658203125,79.34660995101139,214,16,1.5068467e-05
4,17,3754.4658203125,79.34660995101139,234,17,1.5068467e-05
4,18,3754.4638671875,79.34662069519027,223,17,1.5068467e-05
4,19,3752.1416015625,79.35939552389986,312,16,1.5068467e-05
4,20,3752.1396484375,79.35940626807876,311,34,1.5068467e-05
4,21,3752.1396484375,79.35940626807876,308,16,1.5068467e-05
5,0,6811.4541015625,62.53005751197801,164,16,0.0
5,1,7473.8701171875,58.88609402950814,77,15,0.0
5,2,7415.9873046875,59.20450851532585,91,14,0.0
5,3,6984.1162109375,61.58023986486831,132,16,0.0
5,4,7174.8212890625,60.53116749309996,127,15,0.0
5,5,7165.7216796875,60.5812246225852,133,17,0.0
